h,u
1.196985414,1.335517256
1.251805968,1.758265243
0.891054802,1.617349247
1.232628159,1.194601261
0.821259077,1.476433252
1.182688235,1.758265243
1.693562865,1.476433252
1.36789331,1.617349247
1.212509652,1.617349247
1.14873779,1.758265243
1.364814335,1.617349247
0.966401906,1.476433252
1.13817943,1.194601261
1.246564011,1.194601261
0.973148724,1.194601261
1.184766375,1.194601261
1.966448494,2.462845221
1.510305775,1.335517256
1.682989186,1.899181238
1.109699732,1.194601261
1.561620113,1.617349247
1.900234382,1.617349247
1.473264499,1.899181238
1.23102888,1.335517256
1.598806483,1.758265243
1.136248186,1.476433252
0.925953809,1.476433252
1.75713439,1.476433252
1.692661043,2.040097234
0.876805645,1.476433252
0.894045475,1.194601261
1.269678067,1.194601261
0.985778877,1.335517256
1.751455001,2.040097234
1.085601096,1.194601261
1.284184043,1.335517256
1.056315795,1.053685265
0.562785387,1.194601261
1.097382666,1.335517256
1.155565297,1.476433252
0.502093181,1.335517256
1.593469001,2.181013229
1.052979075,1.617349247
0.900406045,1.335517256
1.218776641,2.181013229
1.437706733,1.194601261
1.528306418,1.617349247
0.915311007,1.053685265
0.946565352,1.194601261
1.334356873,1.617349247
0.461226714,1.053685265
1.571028129,1.335517256
0.533487934,1.053685265
0.643004865,1.476433252
0.933699341,1.476433252
1.057114992,1.476433252
1.236756412,1.476433252
1.026733591,1.194601261
1.697116232,1.053685265
1.261205134,1.053685265
1.239307154,1.617349247
1.054796348,1.335517256
1.393830277,1.053685265
2.145350569,1.476433252
0.67604346,1.758265243
1.365426061,1.476433252
1.57177062,1.194601261
0.621327892,1.758265243